MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,3,4.17438727,8450,2,1,4,3,0,4,3,5,2,2,0,5,7,5,2003,2003,1,1,12,13,1,5.278114659,4,3,2,5,4,2,7,6.559615237,2,150,856,1,5,1,4,856,6.749931194,1710,1,0,2,1,1.098612289,1,4,8,7,1,6,3,0.693147181,6.306275287,4,3,2.48490665,4.110873864,1,2,2008,9,6,208500
20,3,4.382026635,9600,2,1,4,3,0,2,3,24,1,2,0,2,6,8,1976,1976,1,1,8,8,2,0,3,3,1,5,4,5,6,6.88550967,2,284,1262,1,5,1,4,1262,4.700480366,1262,0,1,2,0,1.098612289,1,3,6,7,4,6,3,0.693147181,6.131226489,4,3,5.697093487,1.386294361,1,5,2007,9,6,181500
60,3,4.219507705,11250,2,1,3,3,0,4,3,5,2,2,0,5,7,5,2001,2002,1,1,12,13,1,5.087596335,4,3,2,5,4,3,7,6.186208624,2,434,920,1,5,1,4,920,6.763884909,1786,1,0,2,1,1.098612289,1,4,6,7,4,6,3,0.693147181,6.410174882,4,3,2.48490665,3.737669618,1,9,2008,9,6,223500
70,3,4.094344562,9550,2,1,3,3,0,0,3,6,2,2,0,5,7,5,1915,1970,1,1,13,15,2,0,3,3,0,4,5,2,6,5.375278408,2,540,756,1,4,1,4,961,6.628041376,1717,1,0,1,0,1.098612289,1,4,7,7,5,2,2,1.098612289,6.464588304,4,3,2.48490665,3.555348061,1,2,2006,9,5,140000
60,3,4.430816799,14260,2,1,3,3,0,2,3,15,2,2,0,5,8,5,2000,2000,1,1,12,13,1,5.857933154,4,3,2,5,4,4,7,6.484635236,2,490,1145,1,5,1,4,1145,6.959398512,2198,1,0,2,1,1.386294361,1,4,9,7,4,6,3,1.098612289,6.728628613,4,3,5.257495372,4.430816799,1,12,2008,9,6,250000
50,3,4.442651256,14115,2,1,3,3,0,4,3,11,2,2,0,0,5,5,1993,1995,1,1,12,13,2,0,3,3,5,5,4,2,7,6.595780514,2,64,796,1,5,1,4,796,6.338594078,1362,1,0,1,1,0,1,3,5,7,1,6,2,0.693147181,6.173786104,4,3,3.688879454,3.401197382,4,10,2009,9,6,143000
20,3,4.317488114,10084,2,1,4,3,0,4,3,21,2,2,0,2,8,5,2004,2005,1,1,12,13,3,5.225746674,4,3,2,6,4,4,7,7.221835825,2,317,1686,1,5,1,4,1694,4.700480366,1694,1,0,2,0,1.098612289,1,4,7,7,5,6,3,0.693147181,6.455198563,4,3,5.541263545,4.043051268,1,8,2007,9,6,307000
60,3,3.044522438,10382,2,1,3,3,0,0,3,14,4,2,0,5,7,6,1973,1973,1,1,6,6,3,5.480638923,3,3,1,5,4,3,6,6.755768922,5,216,1107,1,5,1,4,1107,6.89060912,2090,1,0,2,1,1.098612289,1,3,7,7,4,6,3,0.693147181,6.182084907,4,3,5.459585514,5.135798437,1,11,2009,9,6,200000
50,4,3.931825633,6120,2,1,4,3,0,4,3,17,0,2,0,0,7,5,1931,1950,1,1,3,15,2,0,3,3,0,4,4,2,2,0.693147181,2,952,952,1,4,1,1,1022,6.622736324,1774,0,0,2,0,0.693147181,2,3,8,6,4,2,2,0.693147181,6.148468296,3,3,4.49980967,1.386294361,1,4,2008,9,5,129900
190,3,3.912023005,7420,2,1,4,3,0,0,3,3,0,0,1,1,5,6,1939,1950,1,1,8,8,2,0,3,3,0,4,4,2,7,6.746412129,2,140,991,1,5,1,4,1077,4.700480366,1077,1,0,1,0,0.693147181,2,3,5,7,4,6,3,0,5.323009979,5,3,2.48490665,1.386294361,1,1,2008,9,6,118000
20,3,4.248495242,11200,2,1,4,3,0,4,3,19,2,2,0,2,5,5,1965,1965,3,1,6,6,2,0,3,3,1,4,4,2,4,6.809039306,2,134,1040,1,5,1,4,1040,4.700480366,1040,1,0,1,0,1.098612289,1,3,5,7,1,2,2,0,5.950642553,4,3,2.48490665,1.386294361,1,2,2008,9,6,129500
60,3,4.442651256,11924,2,1,3,3,0,4,3,16,2,2,0,5,9,5,2005,2006,3,1,14,15,3,5.655991811,5,3,2,6,4,2,7,6.905753276,2,177,1175,1,5,1,4,1182,7.04053639,2324,1,0,3,0,1.386294361,1,5,11,7,5,4,4,1.098612289,6.601230119,4,3,4.990432587,3.044522438,1,7,2006,7,1,340037.5
20,3,3.044522438,12968,2,1,2,3,0,4,3,19,2,2,0,2,5,6,1962,1962,3,1,6,10,2,0,3,3,1,4,4,2,6,6.602587892,2,175,912,1,3,1,4,912,4.700480366,912,1,0,1,0,0.693147181,1,3,4,7,1,2,2,0,5.863631176,4,3,4.941642423,1.386294361,1,9,2008,9,6,144000
20,3,4.510859507,10652,2,1,3,3,0,4,3,5,2,2,0,2,7,5,2006,2007,1,1,12,13,3,5.723585102,4,3,2,5,4,4,2,0.693147181,2,1494,1494,1,5,1,4,1494,4.700480366,1494,0,0,2,0,1.098612289,1,4,7,7,5,6,3,1.098612289,6.733401892,4,3,5.075173815,3.496507561,1,8,2007,7,1,279500
20,3,3.044522438,10920,2,1,3,3,0,0,3,12,2,2,0,2,6,5,1960,1960,3,1,8,8,1,5.356586275,3,3,1,4,4,2,5,6.597145702,2,520,1253,1,3,1,4,1253,4.700480366,1253,1,0,1,1,0.693147181,1,3,5,7,3,6,3,0,5.863631176,4,3,2.48490665,5.135798437,3,5,2008,9,6,157000
45,4,3.931825633,6120,2,1,4,3,0,0,3,3,2,2,0,1,7,8,1929,2001,1,1,13,14,2,0,3,3,0,4,4,2,2,0.693147181,2,832,832,1,5,1,0,854,4.700480366,854,0,0,1,0,0.693147181,1,3,5,7,1,2,2,0.693147181,6.356107661,4,3,3.871201011,4.718498871,5,7,2007,9,6,132000
20,3,3.044522438,11241,2,1,3,3,0,1,3,12,2,2,0,2,6,7,1970,1970,1,1,13,14,1,5.192956851,3,3,1,4,4,2,6,6.359573869,2,426,1004,1,5,1,4,1004,4.700480366,1004,1,0,1,0,0.693147181,1,3,5,7,4,6,4,0.693147181,6.173786104,4,3,2.48490665,1.386294361,1,3,2010,9,6,149000
90,3,4.276666119,10791,2,1,4,3,0,4,3,19,2,2,2,2,4,5,1967,1967,1,1,8,8,2,0,3,3,3,1,1,1,1,0.693147181,1,0,42,1,3,1,4,1296,4.700480366,1296,0,0,2,0,0.693147181,2,3,6,7,1,3,2,0.693147181,6.246106765,4,3,2.48490665,1.386294361,1,10,2006,9,6,90000
20,3,4.189654742,13695,2,1,4,3,0,4,3,20,5,2,0,2,5,5,2004,2004,1,1,12,13,2,0,3,3,2,4,4,2,7,6.470799504,2,468,1114,1,5,1,4,1114,4.700480366,1114,1,0,1,1,1.098612289,1,4,6,7,1,2,2,0.693147181,6.356107661,4,3,2.48490665,4.624972813,1,6,2008,9,6,159000
20,3,4.248495242,7560,2,1,4,3,0,4,3,12,2,2,0,2,5,6,1958,1965,3,1,3,10,2,0,3,3,1,4,4,2,3,6.222576268,2,525,1029,1,3,1,4,1339,4.700480366,1339,0,0,1,0,1.098612289,1,3,6,6,1,6,2,0,5.683579767,4,3,2.48490665,1.386294361,4,5,2009,6,5,139000
